label,description
hhid,HOUSEHOLD IDENTIFICATION NUMBER
pn,RESPONDENT PERSON IDENTIFICATION NUMBER
rsubhh,2020 SUB HOUSEHOLD IDENTIFICATION NUMBER
qsubhh,2018 SUB HOUSEHOLD IDENTIFICATION NUMBER
RPN_SP,2020 SPOUSE/PARTNER PERSON NUMBER
rcsr,2020 WHETHER COVERSHEET RESPONDENT
rfamr,2020 WHETHER FAMILY RESPONDENT
rfinr,2020 WHETHER FINANCIAL RESPONDENT
RD190,ALTWAVE FLAG FOR D159 AND D178 SEQUENCES
RD290,ALTWAVE FLAG FOR NUMBER SERIES
RD101,RATE MEMORY
RD102,RATE MEMORY PAST
RD103,WORDS PREAMBLE
RD104,D104 WORD LIST ASSIGNMENT
RD182M1,WORD RECALL IMMEDIATE - 1
RD182WM1,WEB WORD RECALL IMMEDIATE - 1
RD182M2,WORD RECALL IMMEDIATE - 2
RD182WM2,WEB WORD RECALL IMMEDIATE - 2
RD182M3,WORD RECALL IMMEDIATE - 3
RD182WM3,WEB WORD RECALL IMMEDIATE - 3
RD182M4,WORD RECALL IMMEDIATE - 4
RD182WM4,WEB WORD RECALL IMMEDIATE - 4
RD182M5,WORD RECALL IMMEDIATE - 5
RD182WM5,WEB WORD RECALL IMMEDIATE - 5
RD182M6,WORD RECALL IMMEDIATE - 6
RD182WM6,WEB WORD RECALL IMMEDIATE - 6
RD182M7,WORD RECALL IMMEDIATE - 7
RD182WM7,WEB WORD RECALL IMMEDIATE - 7
RD182M8,WORD RECALL IMMEDIATE - 8
RD182WM8,WEB WORD RECALL IMMEDIATE - 8
RD182M9,WORD RECALL IMMEDIATE - 9
RD182WM9,WEB WORD RECALL IMMEDIATE - 9
RD182M10,WORD RECALL IMMEDIATE - 10
RD182WM10,WEB WORD RECALL IMMEDIATE - 10
RD182M11,WORD RECALL IMMEDIATE - 11
RD182WM11,WEB WORD RECALL IMMEDIATE - 11
RD182M12,WORD RECALL IMMEDIATE - 12
RD182WM12,WEB WORD RECALL IMMEDIATE - 12
RD182M13,WORD RECALL IMMEDIATE - 13
RD182M14,WORD RECALL IMMEDIATE - 14
RD108M1,D108M IWER CHECKPOINT -1
RD108M2,D108M IWER CHECKPOINT -2
RD108M3,D108M IWER CHECKPOINT -3
RD174,NUMBER GOOD - IMMEDIATE
RD174W,WEB NUMBER GOOD - IMMEDIATE
RD175,NUMBER WRONG - IMMEDIATE
RD175W,WEB NUMBER WRONG - IMMEDIATE
RD176,NUMBER FORGOTTEN - IMMEDIATE
RD176W,WEB NUMBER FORGOTTEN - IMMEDIATE
RD177,NONE REMEMBERED - IMMEDIATE - FLAG
RD177W,WEB NONE REMEMBERED - IMMEDIATE - FLAG
RD110,FEELING DEPRESSED W/IN PREV WK
RD111,FELT ACTIVITIES WERE EFFORTS
RD112,WAS SLEEP RESTLESS W/IN PREV WK
RD113,WAS R HAPPY W/IN PREV WK
RD114,LONELINESS FELT W/IN PREV WK
RD115,ENJOYED LIFE W/IN PREV WK
RD116,FELT SAD W/IN PREV WK
RD117,FELT UNMOTIVATED W/IN PREV WK
RD120,COUNT 20 - FIRST TRY
RD122,INTRO-END 1ST TRY CNT BACKWARDS
RD124,IWER CHECK 20-1ST TRY
RD125,INTRO COUNT BACKWARDS 2ND TRY
RD127,INTRO END CNT BACKWARDS 2ND TRY
RD129,IWER CHECK 20- SECOND TRY
RD142,SERIES MINUS 7- 1
RD143,SERIES MINUS 7- 2
RD144,SERIES MINUS 7- 3
RD145,SERIES MINUS 7- 4
RD146,SERIES MINUS 7- 5
RD189,D189 IWER CHECKPOINT
RD237WA,SPEED TEST - MOUSE/CLICKING - ACCURACY
