label,description
hhid,HOUSEHOLD IDENTIFICATION NUMBER
pn,RESPONDENT PERSON IDENTIFICATION NUMBER
rsubhh,2020 SUB HOUSEHOLD IDENTIFICATION NUMBER
qsubhh,2018 SUB HOUSEHOLD IDENTIFICATION NUMBER
RPN_SP,2020 SPOUSE/PARTNER PERSON NUMBER
rcsr,2020 WHETHER COVERSHEET RESPONDENT
rfamr,2020 WHETHER FAMILY RESPONDENT
rfinr,2020 WHETHER FINANCIAL RESPONDENT
RB084,IW MODE
RB000,LIFE SATISFACTION
RB132,WHAT PER CENT TAKE RISKS
RB001,INTRO-DEMOGRAPHICS
RB002,BORN IN US
RB003M,STATE BORN - MASKED
RB006,ARRIVE IN US-YEAR
RB007,ARRIVE IN US-YEARS AGO
RB008,ARRIVE IN US-AT AGE
RB085,US CITIZENSHIP
RB086,BORN US CITIZEN
RB087,YEAR BECAME US CITIZEN
RB014,R HIGHEST LEVEL OF EDUCATION
RB015,R EARN HIGH SCHOOL DIPLOMA/GED
RB016,R COLLEGE DEGREE
RB017M,R HIGHEST DEGREE - MASKED
RB098,B098 INTRO
RB019,RATE HEALTH AS CHILD
RB099,CHILDHOOD - MISSED SCHOOL
RB100,MEASLES BEFORE AGE 16
RB101,MUMPS BEFORE AGE 16
RB102,CHICKEN POX BEFORE AGE 16
RB103,DIFFICULTY SEEING BEFORE AGE 16
RB104,PARENTS/GUARDIANS SMOKE
RB105,ASTHMA BEFORE AGE 16
RB106,DIABETES BEFORE AGE 16
RB107,RESPIRATORY DISORDER BEFORE AGE 16
RB108,SPEECH IMPAIRMENT BEFORE AGE 16
RB109,ALLERGIC CONDITION BEFORE AGE 16
RB110,HEART TROUBLE BEFORE AGE 16
RB111,EAR PROBLEMS BEFORE AGE 16
RB112,EPILEPSY OR SEIZURES BEFORE AGE 16
RB113,HEADACHES OR MIGRAINES BEFORE AGE 16
RB114,STOMACH PROBLEMS BEFORE AGE 16
RB115,HIGH BP BEFORE AGE 16
RB116,DEPRESSION BEFORE AGE 16
RB117,DRUGS/ALCOHOL PROBLEMS BEFORE AGE 16
RB118,OTHER  PSYCH PROBLEMS BEFORE AGE 16
RB119,CHILDHOOD- CONCUSSION OR SEVERE HEAD INJURY
RB120,CHILDHOOD- DISABILITY
RB121M1M,CAUSE OF DISABILITY -1 MASKED
RB121M2M,CAUSE OF DISABILITY -2 MASKED
RB122,CHILDHOOD-SMOKING
RB123,CHILDHOOD-LEARNING PROBLEMS
RB124,CHILDHOOD-ANY OTHER CONDITIONS
RB125M1M,CHILDHOOD CONDITIONS - 1 MASKED
RB125M2M,CHILDHOOD CONDITIONS - 2 MASKED
RB125M3M,CHILDHOOD CONDITIONS - 3 MASKED
RB126,CHILDHOOD HEALTH FOLLOW-UPS INTRO
RB127_1,AGE FIRST DIAGNOSED-ASTHMA
RB128_1,AGE FIRST DIAGNOSED-DK-ASTHMA
RB129_1,AGE STOP HAVING -ASTHMA
RB127_2,AGE FIRST DIAGNOSED -DIABETES
RB128_2,AGE FIRST DIAGNOSED-DK-DIABETES
RB129_2,AGE STOP HAVING -DIABETES
RB127_3,AGE FIRST DIAGNOSED -RESP DISORDER
RB128_3,AGE FIRST DIAGNOSED-DK-RESP DISORDER
RB129_3,AGE STOP HAVING -RESP DISORDER
RB127_4,AGE FIRST DIAGNOSED -SPEECH IMP
RB128_4,AGE FIRST DIAGNOSED-DK-SPEECH IMP
RB129_4,AGE STOP HAVING -SPEECH IMP
RB127_5,AGE FIRST DIAGNOSED-ALLERGIC CONDITION
RB128_5,AGE FIRST DIAGNOSED-DK-ALLERGIC COND
RB129_5,AGE STOP HAVING -ALLERGIC CONDITION
